distance,mean_norm_contact
0,0.200981777810629
40000,0.0335349342610276
80000,0.0145241976378283
120000,0.0103765441659931
160000,0.00818767796234476
2e+05,0.00678072109369382
240000,0.00577917544039381
280000,0.00502219656705008
320000,0.00442690294466922
360000,0.00394094576314397
4e+05,0.00354552350950182
440000,0.00320672810793086
480000,0.00293222883181202
520000,0.0026947124093092
560000,0.00248591037259897
6e+05,0.002306065971639
640000,0.0021494864038902
680000,0.00200362116906419
720000,0.00187781948060047
760000,0.00176520960234284
8e+05,0.00167125056617529
840000,0.00157595789970093
880000,0.00149072998316348
920000,0.0014175361173449
960000,0.00134636911693445
1e+06,0.00129314603645892
1040000,0.001229677658272
1080000,0.00116939536110822
1120000,0.00112205422307411
1160000,0.00107818329218013
1200000,0.00103572494532083
1240000,0.000999349515835752
1280000,0.000958263155222632
1320000,0.000925679008546297
1360000,0.000892104580427943
1400000,0.00086757532767185
1440000,0.000834920018753482
1480000,0.000811942993114042
1520000,0.00078528618255272
1560000,0.000760707072559718
1600000,0.000740313753755358
1640000,0.000717472409382066
1680000,0.000697556928310476
1720000,0.000677213676003933
1760000,0.000667017765391824
1800000,0.000650512230769731
1840000,0.000630784269193926
1880000,0.000617743031789436
1920000,0.000606002130473391
1960000,0.000592765730199909
2e+06,0.000581019210960045
2040000,0.000566475805803625
2080000,0.000552965866738157
2120000,0.000543462895485153
2160000,0.000530413369881559
2200000,0.000522798308134607
2240000,0.000509448979429812
2280000,0.000503529241579639
2320000,0.000494627742709854
2360000,0.000486268515147122
2400000,0.000478286179407391
2440000,0.000468516090700054
2480000,0.000464522777749263
2520000,0.000456119878077437
2560000,0.000449168088292182
2600000,0.000443826523579888
2640000,0.000435607844106518
2680000,0.000430120706609837
2720000,0.00042445688975372
2760000,0.000419124470449152
2800000,0.000418010829640352
2840000,0.00040919806810324
2880000,0.000404610779175507
2920000,0.000402908483211076
2960000,0.000397079358577429
3e+06,0.000391886617807316
3040000,0.00038839923229597
3080000,0.000385979966975844
3120000,0.000380394926905175
3160000,0.000377431658286029
3200000,0.000375736917959282
3240000,0.000374783123685554
3280000,0.00036340453993468
3320000,0.000360359526552664
3360000,0.000359066768161598
3400000,0.000354513234800269
3440000,0.000351755533182727
3480000,0.000347694140109165
3520000,0.000346066793470554
3560000,0.000342831299540958
3600000,0.000338748788559158
3640000,0.000338479472730057
3680000,0.000334104273040494
3720000,0.000332293858361239
3760000,0.000329262002927937
3800000,0.000325060545441267
3840000,0.000323662798556105
3880000,0.000320635665639618
3920000,0.000320026315262282
3960000,0.000317858145156286
4e+06,0.000316100611478606
4040000,0.000313935770706848
4080000,0.000313002059550384
4120000,0.00030789997026186
4160000,0.00030974367191762
4200000,0.000305633175237782
4240000,0.000303927851857256
4280000,0.000301871778989506
4320000,0.000301366347294407
