distance,mean_norm_contact
0,0.0634164097893069
40000,0.0389776435170966
80000,0.0188063479398384
120000,0.0138526801421241
160000,0.0112148108359602
2e+05,0.00946981113953433
240000,0.00819746944211311
280000,0.00722272133972562
320000,0.0064216047991797
360000,0.00577490593987915
4e+05,0.00522632971125306
440000,0.00476008743317132
480000,0.00436163940414627
520000,0.00402158058460319
560000,0.003720278040788
6e+05,0.0034625979508811
640000,0.00322659128111529
680000,0.00301267810708314
720000,0.00282668208914438
760000,0.00265450081952606
8e+05,0.00249747925740223
840000,0.00236275910747107
880000,0.00223712109347688
920000,0.00212220297526275
960000,0.00201383809216349
1e+06,0.00191061572386281
1040000,0.00182013690884826
1080000,0.00173748404830204
1120000,0.00165754935609375
1160000,0.00158397860289531
1200000,0.00152150792273059
1240000,0.00145916383211264
1280000,0.00140261128698416
1320000,0.00134709839268529
1360000,0.00129523683616937
1400000,0.00124865908227911
1440000,0.00120185555058451
1480000,0.00115972394858857
1520000,0.0011200652602685
1560000,0.00108344031098832
1600000,0.00104828791381789
1640000,0.00101561077512252
1680000,0.000984257695399679
1720000,0.000954105378356417
1760000,0.0009282158657377
1800000,0.000901297796230832
1840000,0.00087662166855009
1880000,0.000852782359172004
1920000,0.00083085200947044
1960000,0.000808951958058032
2e+06,0.000793179207624462
2040000,0.000772407947235825
2080000,0.00075271625085032
2120000,0.000733883224362459
2160000,0.000716280312897809
2200000,0.000702294333636915
2240000,0.000685235613156186
2280000,0.000671205947229146
2320000,0.000658502569153212
2360000,0.000645093962244128
2400000,0.000633113134661959
2440000,0.000619642762701832
2480000,0.000608038504010889
2520000,0.000597748660031552
2560000,0.000588424849188386
2600000,0.000576876005654598
2640000,0.000568926384092225
2680000,0.00056013719418746
2720000,0.000549910236735414
2760000,0.000538737360376044
2800000,0.000533396010539579
2840000,0.000523547106238619
2880000,0.000515443518726846
2920000,0.000509196385348917
2960000,0.000500525172113731
3e+06,0.000494479420580541
3040000,0.00048776597129251
3080000,0.000480324462468604
3120000,0.000476553393176956
3160000,0.000469357218122083
3200000,0.000464409198417167
3240000,0.000457874817135383
3280000,0.000452549084886122
3320000,0.00044765306221322
3360000,0.000442813724709678
3400000,0.000436872502953852
3440000,0.000432303470839113
3480000,0.000427644298393223
3520000,0.000423381960769191
3560000,0.000417132597445453
3600000,0.000414690640013901
3640000,0.000409070332495816
3680000,0.000406390789707933
3720000,0.000402166576894758
3760000,0.000398636179330652
3800000,0.000394229252451367
3840000,0.000389077726344419
3880000,0.000386347518238568
3920000,0.000383118501877525
3960000,0.000381698682867627
4e+06,0.000376763948195341
4040000,0.000374881317886291
4080000,0.000371187894198456
4120000,0.000366645292294482
4160000,0.000363215782368523
4200000,0.000361489219543345
4240000,0.000358860824365579
4280000,0.000356550999502106
4320000,0.000353502825285227
4360000,0.00035188251143287
4400000,0.00034694916027609
4440000,0.000346608650934002
4480000,0.00034376529024304
4520000,0.000340699281264702
4560000,0.000338389077035522
4600000,0.000337529525127995
4640000,0.000333406724423974
4680000,0.00033229278324796
4720000,0.000330760575311023
4760000,0.000328299421699654
4800000,0.000324146320600795
4840000,0.00032348575625867
4880000,0.000320935873291169
4920000,0.000316918838184698
4960000,0.000317978983200281
5e+06,0.000314085789481899
5040000,0.00031250514523477
5080000,0.000309217711399762
5120000,0.000309153950733006
5160000,0.000307384553757927
5200000,0.000306543727931139
5240000,0.00030491279609217
5280000,0.000304449495303571
5320000,0.000301160327030314
5360000,0.000299576711897436
5400000,0.00029912184933361
5440000,0.000297367380788804
5480000,0.000294618017829832
5520000,0.000293010723942673
5560000,0.000293274220583326
5600000,0.000289796113749617
5640000,0.000291000025090315
5680000,0.00028838350918704
5720000,0.000287840821197243
5760000,0.000285350956598593
5800000,0.000283436210996718
5840000,0.000284652110932049
5880000,0.000281590521847463
5920000,0.000280727068359905
5960000,0.000279803921181165
6e+06,0.000277958888804054
6040000,0.000276038437415786
6080000,0.00027566817829752
6120000,0.000275394034292554
6160000,0.000273593251170072
6200000,0.000273858115718845
6240000,0.00027225477832802
6280000,0.00027061707333698
6320000,0.000270179925615792
6360000,0.000269208987494226
